id,name
0,Tampa
1,Villas
2,Mooresville
3,Los Angeles
4,Brooklyn
5,Enid
6,Myrtle Beach
7,Murray
8,Rochester
9,Coldwater
10,Saylorsburg
11,Parkland
12,Mapleton
13,Garden City
14,Laguna Woods
15,Berlin
16,Leesburg
17,Glenview
18,Roseburg
19,Munhall
20,Barberton
21,Jackson
22,Butler
23,Delavan
24,Torrance
25,Riverdale
26,Columbus
27,Murfreesboro
28,Fredericksburg
29,Woodland
30,Washington
31,Irving
32,Sarasota
33,Nokomis
34,Brandon
35,Woodbury
36,Rockwood
37,Sisquoc
38,Lexington
39,Grand junction
40,Shreveport
41,Fort Myers
42,Ogdensburg
43,Elizabethtown
44,Bloomington
45,Three oaks
46,Poulsbo
47,Cuyahoga falls
48,Bonita Springs
49,Bridgeville
50,Punta Gorda
