posted,date,time,city,state,shape,duration,summary,images,img_link,lat,lng,population
03/06/23,03/05/23,20:47:00,Villas,NJ,Diamond,Few minutes long,Low flying aircraft,Yes,https://nuforc.org/webreports/reports/174/S174894.html,39.0157,-74.935,9866
03/06/23,03/05/23,19:00:00,Mooresville,NC,Orb,10 seconds,Turquoise colored light traveling from south to north performing high speed maneuvers and directional changes.,Yes,https://nuforc.org/webreports/reports/174/S174900.html,35.5847,-80.8266,48431
03/06/23,03/05/23,12:30:00,Los Angeles,CA,Changing,4 min,Dark object triangular changed shape,Yes,https://nuforc.org/webreports/reports/174/S174886.html,34.1141,-118.4068,12121244
03/06/23,03/05/23,00:30:00,Brooklyn,NY,Light,Atleast 10 mins,"Light object sky, In Brooklyn towards Manhattan",Yes,https://nuforc.org/webreports/reports/174/S174881.html,40.6501,-73.9496,2736074
03/06/23,03/04/23,23:49:00,Enid,OK,Formation,,It suddenly appeared over rhe neighbors house and went from south to north pretty quickly. Maybe 50 60mph,Yes,https://nuforc.org/webreports/reports/174/S174880.html,36.4063,-97.87,51129
03/06/23,03/04/23,20:03:00,Myrtle Beach,SC,Disk,seconds,"Two visible, slanted, lighted disks observed for mere seconds and seemed to disappear.",Yes,https://nuforc.org/webreports/reports/174/S174873.html,33.7094,-78.8844,281180
03/06/23,03/04/23,15:04:00,Murray,KY,Orb,6 minutes,A giant white orb bigger than a house.,Yes,https://nuforc.org/webreports/reports/174/S174869.html,36.6146,-88.3207,17241
03/06/23,03/01/23,20:15:00,Rochester,NY,Light,20 minutes,Two lights that appeared to be from one object high and stationary in sky. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174816.html,43.168,-77.6162,737309
03/06/23,03/01/23,20:00:00,Coldwater,MI,Light,Ongoing,Hovering lights spotted in Coldwater and in Lansing. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174811.html,41.9465,-84.9989,13764
03/06/23,03/01/23,19:55:00,Coldwater,MI,Other,Still ongoing,2 really vibrant glowing orb like objects that seem to be connected. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174806.html,41.9465,-84.9989,13764
03/06/23,03/01/23,19:53:00,Saylorsburg,PA,Unknown,15 minutes,Saw 2 lights in the sky while getting dropped off at home. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174818.html,40.8998,-75.3179,1318
03/06/23,03/01/23,19:46:00,Parkland,FL,Star,15 minutes maybe longer,"Saw two bright stars but one changed colors, seemed to not move at all. NUFORC Note: Jupiter and Venus",Yes,https://nuforc.org/webreports/reports/174/S174817.html,26.3219,-80.2533,33772
03/06/23,03/01/23,19:46:00,Mapleton,ND,Unknown,25 minutes and ongoing.,I was moving snow for a couple hours when I noticed 2 lights to the west. NUFORC Note: Jupiter and Venus,Yes,https://nuforc.org/webreports/reports/174/S174810.html,46.8915,-97.0533,1169
