poster_id,posted,date,time,state_code,city_id,duration,summary,img_url,lat,lng
2,07/03/23,05/03/23,20:47:00,NJ,2,Few minutes long,Low flying aircraft,https://picsum.photos/512,39.0157,-74.935
3,06/03/23,05/03/23,19:00:00,NC,3,10 seconds,Turquoise colored light traveling from south to north performing high speed maneuvers and directional changes.,https://picsum.photos/512,35.5847,-80.8266
4,07/03/23,05/03/23,12:30:00,CA,4,4 min,Dark object triangular changed shape,https://picsum.photos/512,34.1141,-118.4068
5,09/03/23,05/03/23,00:30:00,NY,5,Atleast 10 mins,"Light object sky, In Brooklyn towards Manhattan",https://picsum.photos/512,40.6501,-73.9496
6,11/03/23,04/03/23,23:49:00,OK,6,Unknown,It suddenly appeared over rhe neighbors house and went from south to north pretty quickly. Maybe 50 60mph,https://picsum.photos/512,36.4063,-97.87
7,06/03/23,04/03/23,20:03:00,SC,7,seconds,"Two visible, slanted, lighted disks observed for mere seconds and seemed to disappear.",https://picsum.photos/512,33.7094,-78.8844
8,09/03/23,04/03/23,15:04:00,KY,8,6 minutes,A giant white orb bigger than a house.,https://picsum.photos/512,36.6146,-88.3207
5,07/03/23,01/03/23,20:15:00,NY,9,20 minutes,Two lights that appeared to be from one object high and stationary in sky. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,43.168,-77.6162
9,02/03/23,01/03/23,20:00:00,MI,10,Ongoing,Hovering lights spotted in Coldwater and in Lansing. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,41.9465,-84.9989
9,03/03/23,01/03/23,19:55:00,MI,10,Still ongoing,2 really vibrant glowing orb like objects that seem to be connected. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,41.9465,-84.9989
10,03/03/23,01/03/23,19:53:00,PA,11,15 minutes,Saw 2 lights in the sky while getting dropped off at home. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,40.8998,-75.3179
1,04/03/23,01/03/23,19:46:00,FL,12,15 minutes maybe longer,"Saw two bright stars but one changed colors, seemed to not move at all. NUFORC Note: Jupiter and Venus",https://picsum.photos/512,26.3219,-80.2533
11,03/03/23,01/03/23,19:46:00,ND,13,25 minutes and ongoing.,I was moving snow for a couple hours when I noticed 2 lights to the west. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,46.8915,-97.0533
12,06/03/23,01/03/23,19:38:00,ID,14,UFO?,Saw what appeared to be a Aireal object just hovering in the sky not moving. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,43.6526,-116.2743
4,07/03/23,01/03/23,19:35:00,CA,15,Half hour so far,"Saw two stationary lights, one brighter than the other with an apparent aircraft flying to the left. NUFORC Note: Jupiter and Venus",https://picsum.photos/512,33.6099,-117.7299
13,02/03/23,01/03/23,19:35:00,MD,16,10 minutes,I watched in the dark as it slowly moved overhead. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,38.331,-75.2148
14,04/03/23,01/03/23,19:30:00,GA,17,Over 30 minutes,Two stationary white lights. One smaller & higher than the other. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,31.7324,-84.1688
15,06/03/23,01/03/23,19:30:00,IL,18,40 minutes,The black elliptical object with 2 bright lights on each end hovered. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,42.0825,-87.8214
16,03/03/23,01/03/23,19:25:00,OR,19,30 minutes,2 lights near one another approximately 1 inch apart. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,43.2231,-123.352
10,01/03/23,01/03/23,19:19:00,PA,20,3 + minutes,Two crafts then one dissappeared. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,40.3935,-79.9005
17,04/03/23,01/03/23,19:08:00,OH,21,25 minutes plus,Two lights high in the sky stationary very large and bright. Seen clouds moving infront of it. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,41.0095,-81.6037
18,02/03/23,01/03/23,19:00:00,MS,22,1 hour,2 star-like objects close together not moving but there was too much cloud cover to see other stars. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,32.3157,-90.2125
19,01/03/23,01/03/23,18:49:00,PA,23,15 minutes,Looked up at an unfamiliar light in the sky that me and my wife had first noticed. There were 2 lights. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,40.8616,-79.8962
20,07/03/23,01/03/23,18:45:00,WI,24,45 minutes on going,2 close bright lights very close staionary. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,42.6282,-88.6323
4,06/03/23,01/03/23,18:20:00,CA,25,still going on,Two small lights apart - about the width of a wing span of a commercial airplane. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,33.8346,-118.3416
4,05/03/23,01/03/23,07:15:00,CA,26,10 mins,"Strange circular lights floating still, below star range. NUFORC Note: Jupiter and Venus",https://picsum.photos/512,36.4304,-119.8671
14,02/03/23,28/02/23,20:40:00,GA,27,10 or 12 minutes,"Brilliantly illuminated, scintillating, disc-shaped objects moving at constant speed. Illumination dimmed as objects passed over city.",https://picsum.photos/512,32.51,-84.8771
21,02/03/23,28/02/23,19:46:00,TN,28,It's been sitting for 1hr,I noticed it an hour ago. I posted on Twittrer and Facebook. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,35.849,-86.4121
21,07/03/23,28/02/23,19:17:00,TN,28,It's been sitting for 1hr,I seen them for 2+ hours. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,35.849,-86.4121
22,28/02/23,28/02/23,19:08:00,VA,29,Filing at 1922: ongoing,Observed 2x stationary low UFO over a field/highway in front of my house. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,38.2992,-77.4872
23,01/03/23,28/02/23,19:00:00,WA,30,30-45 minutes,Hovering close together. Faint green and red lights intermittently. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,45.9145,-122.7505
24,02/03/23,28/02/23,18:50:00,DC,31,Ongoing,A motorist stopped us to point out two lighted objects in the sky. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,38.9047,-77.0163
25,01/03/23,28/02/23,18:34:00,TX,32,1 minute,"Upon reviewing the photos, I saw two bright lights in one of my photos. NUFORC Note: Jupiter and Venus",https://picsum.photos/512,32.8583,-96.9702
1,03/03/23,27/02/23,20:02:00,FL,33,Approx 5 min,Observed light over the Gulf of Mexico that was preceded by cloud/mist travelling North to South parallel to the coast.,https://picsum.photos/512,27.3387,-82.5432
1,06/03/23,27/02/23,19:54:00,FL,34,3-4 minutes,2 weird lit up flying objects,https://picsum.photos/512,27.1241,-82.4354
26,06/03/23,27/02/23,19:45:00,SD,35,20-30 minutes,Two stationery craft. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,43.5928,-96.5799
21,03/03/23,27/02/23,18:00:00,TN,36,1 hour,2 craft stationary in the sky...unmoving for 1 hour.,https://picsum.photos/512,35.8247,-86.0723
9,01/03/23,26/02/23,19:15:00,MI,37,App. 2 1/2 hours,2 lights in stack formation same speed. Much brighter than Venus. NUFORC Note: Jupiter and Venus,https://picsum.photos/512,42.0705,-83.243
4,02/03/23,26/02/23,11:40:00,CA,38,Seconds,"Caught it with my camera flying about 100 ft above ground level at mach 1+ yet no visible engine, no sonic boom, no contrail, no sound!",https://picsum.photos/512,34.8621,-120.2943
